manufacturer,releaseyear,memsize,gpuclock,memclock,unifiedshader,tmu,rop,g3dmark,g2dmark,tdp,powerperformance,performance_per_watt,performance_per_gb,performance_per_shader,gpu_age,performance_category
2,2017.0,2.0,500,500.0,40.0,4,4,1469,195,65.0,19.155,19.155714285714286,734.5,36.725,9.0,1
2,2017.0,2.0,500,500.0,40.0,4,4,2545,449,30.0,84.82,84.83333333333333,1272.5,63.625,9.0,0
0,2017.0,1.024,450,250.0,384.0,4,4,1438,349,65.0,19.155,19.155714285714286,1404.296875,3.7447916666666665,9.0,1
0,2017.0,1.024,350,250.0,384.0,4,4,670,182,65.0,19.155,19.155714285714286,654.296875,1.7447916666666667,9.0,1
0,2016.0,4.0,562,1500.0,3328.0,104,48,8324,715,350.0,23.78,23.782857142857143,2081.0,2.501201923076923,10.0,0
2,2016.0,16.0,1557,2002.0,3200.0,200,80,16203,858,235.0,68.95,68.94893617021276,1012.6875,5.0634375,10.0,0
2,2016.0,24.0,1257,2000.0,2304.0,144,32,15811,773,250.0,63.25,63.244,658.7916666666666,6.862413194444445,10.0,0
0,2016.0,8.0,693,1250.0,1536.0,128,32,8674,779,150.0,57.83,57.82666666666667,1084.25,5.647135416666667,10.0,0
0,2016.0,8.0,745,1250.0,1536.0,128,32,3204,492,65.0,19.155,19.155714285714286,400.5,2.0859375,10.0,0
0,2016.0,8.0,745,1250.0,1536.0,128,32,7822,787,130.0,60.17,60.16923076923077,977.75,5.092447916666667,10.0,0
0,2016.0,8.0,954,1250.0,1536.0,128,32,5511,820,75.0,73.47,73.48,688.875,3.587890625,10.0,0
2,2016.0,16.0,745,1250.0,1536.0,128,32,11976,701,180.0,66.54,66.53333333333333,748.5,7.796875,10.0,0
2,2016.0,8.0,830,1250.0,1536.0,96,32,15265,890,180.0,84.8,84.80555555555556,1908.125,9.938151041666666,10.0,0
2,2016.0,8.0,771,900.0,1536.0,128,32,13482,857,150.0,89.88,89.88,1685.25,8.77734375,10.0,0
0,2016.0,8.0,725,1000.0,1440.0,72,32,6276,866,65.0,19.155,19.155714285714286,784.5,4.358333333333333,10.0,0
2,2016.0,8.0,760,900.0,384.0,24,8,3490,522,65.0,19.155,19.155714285714286,436.25,9.088541666666666,10.0,0
0,2016.0,2.0,320,900.0,384.0,24,8,4114,570,75.0,54.86,54.85333333333333,2057.0,10.713541666666666,10.0,0
0,2016.0,4.0,760,900.0,384.0,24,8,3400,552,75.0,45.34,45.333333333333336,850.0,8.854166666666666,10.0,0
0,2016.0,4.0,1531,1752.0,384.0,24,16,2288,324,75.0,30.51,30.506666666666668,572.0,5.958333333333333,10.0,1
0,2016.0,2.0,1303,1502.0,384.0,24,16,1624,440,65.0,19.155,19.155714285714286,812.0,4.229166666666667,10.0,1
0,2016.0,2.0,937,1502.0,384.0,24,16,965,342,65.0,19.155,19.155714285714286,482.5,2.513020833333333,10.0,1
0,2016.0,4.0,1228,1502.0,384.0,24,16,3766,690,50.0,75.32,75.32,941.5,9.807291666666666,10.0,0
0,2016.0,4.0,980,1350.0,384.0,32,16,3453,679,65.0,19.155,19.155714285714286,863.25,8.9921875,10.0,0
0,2016.0,2.0,1033,1300.0,384.0,32,16,3113,705,65.0,19.155,19.155714285714286,1556.5,8.106770833333334,10.0,0
0,2016.0,2.0,926,1254.0,384.0,32,16,2723,619,65.0,19.155,19.155714285714286,1361.5,7.091145833333333,10.0,0
2,2016.0,4.0,837,1253.0,384.0,16,8,3942,565,75.0,52.56,52.56,985.5,10.265625,10.0,0
2,2016.0,8.0,993,1253.0,384.0,32,16,2606,557,65.0,19.155,19.155714285714286,325.75,6.786458333333333,10.0,0
2,2016.0,2.0,1041,1253.0,384.0,16,8,3824,338,60.0,63.73,63.73333333333333,1912.0,9.958333333333334,10.0,0
2,2016.0,4.0,978,1253.0,384.0,24,8,6314,651,75.0,84.18,84.18666666666667,1578.5,16.442708333333332,10.0,0
2,2016.0,2.0,954,1253.0,384.0,24,8,5090,475,75.0,67.86,67.86666666666666,2545.0,13.255208333333334,10.0,0
0,2016.0,2.0,500,500.0,40.0,4,4,965,342,65.0,19.155,19.155714285714286,482.5,24.125,10.0,1
0,2016.0,2.0,600,500.0,40.0,4,4,1038,223,65.0,19.155,19.155714285714286,519.0,25.95,10.0,1
0,2016.0,4.0,600,500.0,40.0,4,4,913,182,65.0,19.155,19.155714285714286,228.25,22.825,10.0,1
0,2016.0,4.0,650,500.0,40.0,4,4,862,180,65.0,19.155,19.155714285714286,215.5,21.55,10.0,1
0,2016.0,2.0,400,400.0,40.0,4,4,796,179,65.0,19.155,19.155714285714286,398.0,19.9,10.0,1
0,2016.0,2.0,600,400.0,40.0,4,4,649,516,65.0,19.155,19.155714285714286,324.5,16.225,10.0,1
0,2016.0,4.0,680,400.0,40.0,4,4,649,516,65.0,19.155,19.155714285714286,162.25,16.225,10.0,1
0,2016.0,4.0,500,400.0,40.0,4,4,649,516,65.0,19.155,19.155714285714286,162.25,16.225,10.0,1
0,2016.0,4.0,450,400.0,40.0,4,4,470,164,65.0,19.155,19.155714285714286,117.5,11.75,10.0,3
2,2016.0,2.0,525,400.0,40.0,4,4,1098,186,30.0,36.59,36.6,549.0,27.45,10.0,1
2,2016.0,1.024,525,400.0,40.0,4,4,637,214,25.0,25.47,25.48,622.0703125,15.925,10.0,1
2,2016.0,1.024,600,400.0,40.0,4,4,1945,256,65.0,19.155,19.155714285714286,1899.4140625,48.625,10.0,1
2,2016.0,2.0,450,400.0,40.0,4,4,1503,171,65.0,19.155,19.155714285714286,751.5,37.575,10.0,1
2,2016.0,2.0,594,396.0,40.0,4,4,1503,171,65.0,19.155,19.155714285714286,751.5,37.575,10.0,1
2,2016.0,1.024,519,396.0,40.0,4,4,1503,171,65.0,19.155,19.155714285714286,1467.7734375,37.575,10.0,1
2,2016.0,2.0,594,396.0,40.0,4,4,1302,191,17.0,76.61,76.58823529411765,651.0,32.55,10.0,1
2,2016.0,2.0,311,900.0,32.0,4,1,1088,149,65.0,19.155,19.155714285714286,544.0,34.0,10.0,1
0,2016.0,1.024,275,250.0,384.0,4,4,806,179,65.0,19.155,19.155714285714286,787.109375,2.098958333333333,10.0,1
0,2015.0,4.0,1900,2250.0,3072.0,192,96,10088,875,65.0,19.155,19.155714285714286,2522.0,3.2838541666666665,11.0,0
0,2015.0,4.0,1830,2125.0,3072.0,96,48,9551,791,65.0,19.155,19.155714285714286,2387.75,3.1090494791666665,11.0,0
0,2015.0,8.0,1620,2000.0,2816.0,88,48,9503,840,275.0,34.56,34.556363636363635,1187.875,3.374644886363636,11.0,0
0,2015.0,8.0,1050,1500.0,2816.0,176,64,9008,816,275.0,32.76,32.75636363636364,1126.0,3.198863636363636,11.0,0
2,2015.0,12.0,1257,2000.0,2304.0,144,32,10117,364,65.0,19.155,19.155714285714286,843.0833333333334,4.391059027777778,11.0,0
2,2015.0,12.0,1257,2000.0,2304.0,144,32,11397,788,250.0,45.59,45.588,949.75,4.946614583333333,11.0,0
2,2015.0,12.0,1000,2000.0,2304.0,144,32,13173,843,250.0,52.69,52.692,1097.75,5.717447916666667,11.0,0
2,2015.0,6.0,1257,2000.0,2304.0,144,32,13864,854,250.0,55.45,55.456,2310.6666666666665,6.017361111111111,11.0,0
2,2015.0,8.0,700,1000.0,1440.0,72,32,7771,563,65.0,19.155,19.155714285714286,971.375,5.396527777777778,11.0,0
2,2015.0,8.0,700,1000.0,1440.0,72,32,7509,441,65.0,19.155,19.155714285714286,938.625,5.214583333333334,11.0,0
0,2015.0,8.0,725,1000.0,1440.0,72,32,4775,762,125.0,38.2,38.2,596.875,3.3159722222222223,11.0,0
